# city name, longitude, latitude, time differential
Kyoto, 135.780822, 35.026244, 9.0
Fukui, 136.219494, 36.064067, 9.0
Kanazawa, 136.662787, 36.561507, 9.0
Osaka, 135.526124, 34.687070, 9.0
Nagoya, 136.899414, 35.185411, 9.0
Shizuoka, 138.382920, 34.979409, 9.0
Kobe, 135.193986, 34.710051, 9.0
Hikone, 136.251923, 35.276411, 9.0
Yasu, 135.988966, 35.142733, 9.0
Tokyo, 139.761394, 35.71326, 9.0
New York, -74.006390, 40.714170, -5.0
San Francisco, -122.467500, 37.770640, -8.0
Strasbourg, 7.731913, 48.652897, 1.0
Sydney, 150.891943, -33.820901, 10.0
Wellington, 174.778404, -41.289780, 12.0
Singapore, 103.853744, 1.297858, 8.0
Johannesburg, 28.046906, -26.195954, 2.0
Cape Town, 18.485672, -34.351991, 2.0
London, -0.0014, 51.4778, 0.0
Moscow, 37.620705, 55.750899, 3.0
St. Petersburg, 30.311854, 59.939647, 3.0
North Pole, 0, 90.0, 0
South Pole, 0, -90.0, 0
